alcaldias,latitude,longitude,cases
IZTAPALAPA,19.3552895,-99.0622406,242039
GUSTAVO_A._MADERO,19.4939194,-99.1107483,165098
ALVARO_OBREGON,19.3586693,-99.2032928,143402
TLALPAN,19.2951298,-99.1620636,125097
XOCHIMILCO,19.2546501,-99.1035614,87380
COYOACAN,19.3467007,-99.1617432,86750
CUAUHTEMOC,19.3983994,-99.1461182,85874
TLAHUAC,19.28689,-99.0050735,82813
VENUSTIANO CARRANZA,19.4436092,-99.1049881,76306
LA_MAGDALENA_CONTRERAS,19.3321209,-99.2111816,66258
AZCAPOTZALCO,19.4869804,-99.1859436,63573
BENITO_JUAREZ,99.1576614,-99.1576614,59205
IZTACALCO,19.3952808,-99.0977783,58961
MIGUEL HIDALGO,19.4341106,-99.2002411,52631
MILPA_ALTA,19.192222,-99.023056,34900
CUAJIMALPA_DE_MORELOS,19.3691998,-99.2908936,30809
