estado,latitude,longitude,cases
CIUDAD_DE_MEXICO,19.4284706,-99.1276627,1461114
MEXICO,19.35601,-99.70051,520107
GUANAJUATO,21.07784,-101.25289,231875
NUEVO_LEON,25.67693,-100.3137,228617
JALISCO,20.67663,-103.34616,160632
TABASCO,17.9868908,-92.9302826,150557
PUEBLA,18.95652,-98.18664,146295
COAHUILA_DE_ZARAGOZA,25.23892,-103.18592,139481
TAMAULIPAS,23.74174,-99.14599,118337
SAN_LUIS_POTOSI,22.24988,-101.23564,117383
SONORA,29.08919,-110.96133,110541
BAJA_CALIFORNIA,30.73563,-115.99649,107338
VERACRUZ_DE_IGNACIO_DE_LA_LLAVE,19.57105,-96.83564,101270
QUERETARO,20.72682,-100.45296,94155
MICHOACAN_DE_OCAMPO,19.6995,-101.26428,91824
YUCATAN,21.04023,-89.56206,78390
CHIHUAHUA,28.15096,-106.21278,74566
SINALOA,25.69983,-107.87211,70250
AGUASCALIENTES,21.77111,-102.35861,67859
BAJA_CALIFORNIA_SUR,25.11662,-111.82525,66518
DURANGO,24.05718,-104.5332,65396
GUERRERO,17.36164,-99.46573,61209
HIDALGO,20.79916,-103.4714,60672
MORELOS,18.94315,-99.30873,56640
OAXACA,17.11867,-96.7607,55938
CHIAPAS,16.71165,-93.11121,52962
ZACATECAS,22.77093,-102.58325,50645
TLAXCALA,19.32226,-98.2301,45645
QUINTANA_ROO,18.51413,-88.30381,41615
CAMPECHE,19.48657,-90.37322,27187
NAYARIT,21.69107,-105.08841,24652
COLIMA,19.14736,-103.72244,20793
